subframe_index,exposure_time,mean_sum_div_2,var_sum,var_diff,exposure_time_sq,var_fpn_unscaled
2,0.1,273.12927,333.74854,331.98325,0.010000000000000002,1.7652893
3,0.1,272.7521,331.4306,326.61462,0.010000000000000002,4.815979
4,0.1,272.78842,331.17694,327.17978,0.010000000000000002,3.9971619
5,0.1,273.1223,334.59705,330.4792,0.010000000000000002,4.117859
6,0.1,272.88928,331.7904,328.55295,0.010000000000000002,3.2374573
7,0.1,272.9391,330.7726,327.66217,0.010000000000000002,3.110443
8,0.1,273.3216,333.33292,329.91602,0.010000000000000002,3.4169006
0,0.2,273.0778,331.47052,327.6917,0.04000000000000001,3.7788086
1,0.2,273.10095,331.20618,327.0327,0.04000000000000001,4.173462
2,0.2,273.2624,335.51596,332.63965,0.04000000000000001,2.8763123
3,0.2,272.71194,330.66443,327.0153,0.04000000000000001,3.6491394
4,0.2,272.74106,330.17014,326.53088,0.04000000000000001,3.6392517
5,0.2,273.08197,333.4113,330.2162,0.04000000000000001,3.1950989
6,0.2,273.02576,333.86206,330.1305,0.04000000000000001,3.7315674
7,0.2,273.0785,332.77737,329.28665,0.04000000000000001,3.4907227
8,0.2,273.4579,335.69193,332.11694,0.04000000000000001,3.5749817
0,70.0,273.74796,6488.651,375.04645,4900.0,6113.6045
1,70.0,273.83136,658.301,330.60907,4900.0,327.69196
2,70.0,274.1044,2130.354,341.70023,4900.0,1788.6538
3,70.0,273.43698,711.77814,332.3241,4900.0,379.45404
4,70.0,273.67416,3622.218,333.76492,4900.0,3288.4531
5,70.0,276.4277,8652.038,355.15768,4900.0,8296.881
6,70.0,273.69916,341.31973,334.51816,4900.0,6.8015747
7,70.0,273.8647,353.0519,335.37808,4900.0,17.673828
8,70.0,275.0758,358.1206,343.99545,4900.0,14.125153
0,40.0,273.48712,3182.6802,328.50714,1600.0,2854.173
1,40.0,273.56216,534.3578,329.1351,1600.0,205.22269
2,40.0,273.80267,962.2063,333.97537,1600.0,628.23096
3,40.0,273.0487,465.6315,328.94086,1600.0,136.69064
4,40.0,273.2263,2164.0332,329.84952,1600.0,1834.1837
5,40.0,274.93167,6759.7803,343.77386,1600.0,6416.0063
6,40.0,273.39874,338.47412,332.82422,1600.0,5.6499023
7,40.0,273.53397,393.42514,382.50226,1600.0,10.922882
8,40.0,274.39285,346.462,338.465,1600.0,7.9970093
0,50.0,273.5529,4350.1934,329.48874,2500.0,4020.7046
1,50.0,273.6165,582.17773,329.8423,2500.0,252.33545
2,50.0,273.893,1251.6881,336.33826,2500.0,915.34985
3,50.0,273.19272,543.0806,331.61636,2500.0,211.46426
4,50.0,273.37634,2638.5593,348.95355,2500.0,2289.6057
5,50.0,275.4334,8104.6465,350.60074,2500.0,7754.046
6,50.0,273.5269,338.08038,333.71924,2500.0,4.361145
7,50.0,273.6487,344.6911,332.63513,2500.0,12.055969
8,50.0,274.63727,348.85013,340.27097,2500.0,8.579163
0,2.0,273.1093,341.93008,326.05832,4.0,15.871765
1,2.0,273.15997,333.1653,327.00836,4.0,6.156952
2,2.0,273.311,336.77036,330.57544,4.0,6.194916
3,2.0,272.77588,330.84775,327.1019,4.0,3.7458496
4,2.0,272.84613,345.54868,326.78287,4.0,18.765808
5,2.0,273.25012,361.44455,329.81818,4.0,31.626373
6,2.0,273.14795,335.02032,330.83365,4.0,4.186676
7,2.0,273.23975,333.9906,329.81348,4.0,4.177124
8,2.0,273.66748,336.85403,332.901,4.0,3.9530334
0,100.0,273.93192,7625.734,333.67218,10000.0,7292.0615
1,100.0,274.02985,758.13995,331.81442,10000.0,426.32553
2,100.0,274.411,3439.9143,343.45175,10000.0,3096.4626
3,100.0,273.47858,1042.3671,332.91122,10000.0,709.4558
4,100.0,273.76367,4700.8667,333.80496,10000.0,4367.0615
5,100.0,277.5885,9224.274,366.0336,10000.0,8858.241
6,100.0,273.8772,342.37997,335.57553,10000.0,6.8044434
7,100.0,274.06262,392.2956,361.4836,10000.0,30.811981
8,100.0,275.665,371.89474,347.96933,10000.0,23.925415
0,80.0,273.68912,7097.05,329.7927,6400.0,6767.2573
1,80.0,273.76556,693.81885,330.48584,6400.0,363.333
2,80.0,274.10547,2711.2805,396.7294,6400.0,2314.551
3,80.0,273.291,830.10034,331.09647,6400.0,499.00388
4,80.0,273.54593,3918.909,331.99957,6400.0,3586.9094
5,80.0,276.65182,8865.514,359.40588,6400.0,8506.107
6,80.0,273.71127,341.3098,334.723,6400.0,6.5868225
7,80.0,273.8774,356.63196,335.43192,6400.0,21.200043
8,80.0,275.23087,361.7061,345.22375,6400.0,16.48233
0,30.0,273.33118,2087.1,328.32605,900.0,1758.774
1,30.0,273.39136,492.27988,328.91095,900.0,163.36893
2,30.0,273.61978,753.92847,333.08228,900.0,420.8462
3,30.0,273.0283,412.6604,328.31192,900.0,84.34848
4,30.0,273.17383,1700.7955,328.9251,900.0,1371.8704
5,30.0,274.53366,4414.2173,341.39227,900.0,4072.825
6,30.0,273.32388,336.82034,331.7591,900.0,5.061249
7,30.0,273.44327,338.8791,331.8219,900.0,7.05719
8,30.0,274.19666,342.13864,336.63043,900.0,5.508209
0,90.0,273.7854,7559.748,336.65125,8100.0,7223.0967
1,90.0,273.86786,732.90106,334.93692,8100.0,397.96414
2,90.0,274.21906,3036.932,337.72733,8100.0,2699.2046
3,90.0,273.40683,938.3906,331.2018,8100.0,607.18884
4,90.0,273.6676,4348.939,332.87512,8100.0,4016.064
5,90.0,277.14017,9048.098,362.18134,8100.0,8685.916
6,90.0,273.76395,341.42245,334.78085,8100.0,6.6416016
7,90.0,273.9425,364.9683,336.04208,8100.0,28.926208
8,90.0,275.42245,365.5781,346.11627,8100.0,19.461823
0,60.0,273.6579,5451.121,329.7403,3600.0,5121.381
1,60.0,273.7442,620.8509,330.6013,3600.0,290.2496
2,60.0,274.0267,1706.7546,338.1984,3600.0,1368.5563
3,60.0,273.22327,629.91296,330.54327,3600.0,299.3697
4,60.0,273.42807,3018.617,332.09003,3600.0,2686.5269
5,60.0,275.8283,8389.358,368.0054,3600.0,8021.353
6,60.0,273.69446,338.23526,333.77917,3600.0,4.456085
7,60.0,273.8411,349.49646,335.50854,3600.0,13.987915
8,60.0,274.92538,351.9027,341.82764,3600.0,10.075073
0,10.0,273.21393,544.58765,329.06308,100.0,215.52457
1,10.0,273.27637,358.4616,327.5276,100.0,30.934021
2,10.0,273.45343,388.06357,331.30792,100.0,56.755646
3,10.0,272.84836,339.6875,327.20386,100.0,12.483643
4,10.0,272.93997,585.4245,327.82208,100.0,257.60242
5,10.0,273.62326,822.8273,332.0884,100.0,490.73886
6,10.0,273.1706,336.21384,330.36115,100.0,5.8526917
7,10.0,273.259,335.60297,329.94995,100.0,5.653015
8,10.0,273.7647,338.4662,332.9558,100.0,5.510376
0,20.0,273.32596,1117.5642,326.57373,400.0,790.9905
1,20.0,273.39374,414.31757,327.85123,400.0,86.46634
2,20.0,273.59323,529.6117,332.32364,400.0,197.28806
3,20.0,272.95914,367.6142,328.50134,400.0,39.112854
4,20.0,273.08798,1145.709,327.47903,400.0,818.23
5,20.0,274.0865,2132.6968,336.2445,400.0,1796.4523
6,20.0,273.31613,335.3546,331.60593,400.0,3.7486877
7,20.0,273.4261,336.66956,330.48926,400.0,6.180298
8,20.0,274.04572,339.47055,335.11218,400.0,4.358368
