Effective_Signal,Noise,Raw_Signal,Exposure_Time,Subframe_Index,Saturated
0.022399902,12.946017503885843,273.33997,3.2e-05,0,False
0.04360962,12.891503084147912,273.20566,3.2e-05,1,False
0.05621338,13.06395045516551,273.31363,3.2e-05,2,False
0.0184021,12.966300590438014,273.18698,3.2e-05,3,False
0.0395813,12.918196537771196,273.06876,3.2e-05,4,False
0.031066895,13.07257538624478,273.32626,3.2e-05,5,False
0.08581543,12.965258045993249,273.21396,3.2e-05,6,False
0.09527588,12.888229791305163,273.04727,3.2e-05,7,False
0.092163086,13.046750494875608,273.468,3.2e-05,8,False
0.118377686,13.07858788706595,273.43594,6.4e-05,0,False
0.12799072,12.92802450849436,273.29004,6.4e-05,1,False
0.1428833,13.094921982500043,273.4003,6.4e-05,2,False
0.14031982,12.931465040032002,273.3089,6.4e-05,3,False
0.13491821,13.013692529952392,273.1641,6.4e-05,4,False
0.016845703,13.083096588332252,273.31204,6.4e-05,5,False
0.027435303,12.905039977540035,273.15558,6.4e-05,6,False
0.019714355,12.953316663698354,272.9717,6.4e-05,7,False
0.13220215,12.990954810942947,273.50803,6.4e-05,8,False
0.20657349,13.10820262305322,273.52414,9.6e-05,0,False
0.19714355,12.95076492490211,273.3592,9.6e-05,1,False
0.22088623,13.014353392537043,273.4783,9.6e-05,2,False
0.03463745,13.108508777760804,273.20322,9.6e-05,3,False
0.0446167,12.947760023190678,273.0738,9.6e-05,4,False
0.116882324,13.107706301765157,273.41208,9.6e-05,5,False
0.113342285,12.926176790655642,273.2415,9.6e-05,6,False
0.106048584,12.972217333619367,273.05804,9.6e-05,7,False
0.046020508,13.018763638765222,273.42184,9.6e-05,8,False
0.17559814,13.122202120254599,273.49316,0.000128,0,False
0.24572754,13.098344980948704,273.40778,0.000128,1,False
0.23382568,12.928866096765427,273.49124,0.000128,2,False
0.17468262,12.961042012443007,273.34326,0.000128,3,False
0.24172974,13.001703943187165,273.2709,0.000128,4,False
0.19610596,13.128874134961269,273.4913,0.000128,5,False
0.20025635,12.978722109631144,273.3284,0.000128,6,False
0.19265747,13.021715941209713,273.14465,0.000128,7,False
0.19522095,12.948585427071915,273.57104,0.000128,8,False
0.24325562,13.002275791627762,273.56082,0.00016,0,False
0.22631836,12.96157205120988,273.38837,0.00016,1,False
0.23831177,13.146658081984137,273.49573,0.00016,2,False
0.22155762,13.011330957736629,273.39014,0.00016,3,False
0.19509888,13.116490379344404,273.22427,0.00016,4,False
0.27557373,13.026977216603026,273.57077,0.00016,5,False
0.26361084,12.956080148261517,273.39175,0.00016,6,False
0.26483154,13.124203589796684,273.21683,0.00016,7,False
0.20248413,12.964760376006032,273.5783,0.00016,8,False
0.36953735,13.132989016075083,273.6871,0.000192,0,False
0.27319336,13.144216936518385,273.43524,0.000192,1,False
0.37322998,12.967299976509905,273.63065,0.000192,2,False
0.3970337,13.043175093422732,273.5656,0.000192,3,False
0.27822876,12.984419014850666,273.3074,0.000192,4,False
0.24346924,13.147000651568833,273.53867,0.000192,5,False
0.24850464,12.964296423497624,273.37665,0.000192,6,False
0.25735474,13.01923298607024,273.20935,0.000192,7,False
0.30081177,13.041949125893249,273.67664,0.000192,8,False
0.3585205,13.143038173459233,273.6761,0.000224,0,False
0.34732056,12.98148694289346,273.50937,0.000224,1,False
0.3685608,13.03821188054209,273.62598,0.000224,2,False
0.3691101,13.161795881270097,273.5377,0.000224,3,False
0.37271118,12.994395342480589,273.4019,0.000224,4,False
0.36032104,13.166078001078803,273.65552,0.000224,5,False
0.37335205,12.971838349157558,273.5015,0.000224,6,False
0.35946655,13.031404995920186,273.31146,0.000224,7,False
0.38000488,13.054481238416871,273.75583,0.000224,8,False
0.48483276,13.067021443135408,273.8024,0.000256,0,False
0.47000122,13.155389560296442,273.63205,0.000256,1,False
0.47079468,12.992124133108033,273.7282,0.000256,2,False
0.3444214,13.136882710527914,273.513,0.000256,3,False
0.39239502,12.991912387341115,273.42157,0.000256,4,False
0.34902954,13.038381816635285,273.64423,0.000256,5,False
0.3814087,13.173602393649757,273.50955,0.000256,6,False
0.3328247,12.981648786791741,273.28482,0.000256,7,False
0.39120483,13.046909641375585,273.76703,0.000256,8,False
0.4996643,13.015727716973286,273.81723,0.000288,0,False
0.51119995,13.092946138241853,273.67325,0.000288,1,False
0.44830322,13.177633655416127,273.70572,0.000288,2,False
0.4569397,12.99765245093351,273.62552,0.000288,3,False
0.49569702,13.18664566315212,273.52487,0.000288,4,False
0.47399902,13.183727078186438,273.7692,0.000288,5,False
0.47824097,12.99008894608714,273.60638,0.000288,6,False
0.46228027,13.032533857110701,273.41428,0.000288,7,False
0.48779297,13.060082385996575,273.86362,0.000288,8,False
0.6500244,13.167797592498049,273.9676,0.00032,0,False
0.64056396,13.005661026500157,273.8026,0.00032,1,False
0.6637268,13.077788108468607,273.92114,0.00032,2,False
0.5290222,13.187255275168981,273.6976,0.00032,3,False
0.52960205,13.004076304996147,273.55878,0.00032,4,False
0.5119324,13.186087301703049,273.80713,0.00032,5,False
0.5010071,13.004809997335023,273.62915,0.00032,6,False
0.5136719,13.046173251638404,273.46567,0.00032,7,False
0.55441284,13.084493840654085,273.93024,0.00032,8,False
0.4864502,13.177357172089895,273.80402,0.000352,0,False
0.6752014,13.018773079659288,273.83725,0.000352,1,False
0.703949,13.089885939865175,273.96136,0.000352,2,False
0.47546387,13.015617123642793,273.64404,0.000352,3,False
0.6871338,13.18345868705512,273.7163,0.000352,4,False
0.57611084,13.223508308384112,273.8713,0.000352,5,False
0.59259033,13.078390976989708,273.72073,0.000352,6,False
0.49508667,13.084032585543982,273.44708,0.000352,7,False
0.5833435,13.0191520641211,273.95917,0.000352,8,False
0.66082764,13.073515429553966,273.9784,0.000384,0,False
0.67211914,13.013857071248978,273.83417,0.000384,1,False
0.6602173,13.195990799578745,273.91763,0.000384,2,False
0.66223145,13.096807463915027,273.8308,0.000384,3,False
0.63848877,13.193781630367196,273.66766,0.000384,4,False
0.6902771,13.107338106896565,273.98547,0.000384,5,False
0.6837158,13.03619692400848,273.81186,0.000384,6,False
0.6890259,13.196221427133796,273.64102,0.000384,7,False
0.64053345,13.025856447607424,274.01636,0.000384,8,False
0.76556396,13.204546947001244,274.08313,0.000416,0,False
0.7315979,13.210077962225025,273.89365,0.000416,1,False
0.7465515,13.034942633796797,274.00397,0.000416,2,False
0.77459717,13.09677509513537,273.94318,0.000416,3,False
0.7430725,13.051764958324041,273.77225,0.000416,4,False
0.70266724,13.214511136338794,273.99786,0.000416,5,False
0.7063904,13.030537782365226,273.83453,0.000416,6,False
0.6999817,13.077890609604186,273.65198,0.000416,7,False
0.75320435,13.103305496431043,274.12903,0.000416,8,False
0.9483032,13.20645131020436,274.26587,0.000448,0,False
0.94732666,13.038342704359868,274.10938,0.000448,1,False
0.9636841,13.106567999680575,274.2211,0.000448,2,False
0.78790283,13.204031743925047,273.95648,0.000448,3,False
0.78686523,13.042550645715195,273.81604,0.000448,4,False
0.8002014,13.216861918961339,274.0954,0.000448,5,False
0.8041992,13.029495237920461,273.93234,0.000448,6,False
0.79397583,13.087719929026502,273.74597,0.000448,7,False
0.7892761,13.103277173748843,274.1651,0.000448,8,False
0.8760681,13.247690484185723,274.19363,0.00048,0,False
0.89346313,13.218275355673,274.0555,0.00048,1,False
0.8829651,13.056257475200514,274.14038,0.00048,2,False
0.8883972,13.086129812725883,274.05698,0.00048,3,False
0.8970947,13.119286232687221,273.92627,0.00048,4,False
0.8004761,13.23291818237005,274.09567,0.00048,5,False
0.8911743,13.139584154930068,274.01932,0.00048,6,False
0.80477905,13.050975969319916,273.75677,0.00048,7,False
0.8116455,13.106207897006897,274.18747,0.00048,8,False
1.0036011,13.067720069296325,274.32117,0.000512,0,False
1.013031,13.13558795934166,274.17508,0.000512,1,False
0.9123535,13.245320819775047,274.16977,0.000512,2,False
0.92904663,13.078060545697381,274.09763,0.000512,3,False
0.98876953,13.232233043200656,274.01794,0.000512,4,False
0.92370605,13.249825474943892,274.2189,0.000512,5,False
0.9324341,13.071044612706864,274.06058,0.000512,6,False
0.92874146,13.117256440462937,273.88074,0.000512,7,False
0.9356384,13.138730428366632,274.31146,0.000512,8,False
1.0083923,13.227500457875065,274.32596,0.000544,0,False
1.0041504,13.065079316356027,274.1662,0.000544,1,False
1.0184631,13.139903796629175,274.27588,0.000544,2,False
1.0093384,13.25350607493065,274.17792,0.000544,3,False
1.0030212,13.095627352156722,274.0322,0.000544,4,False
0.98342896,13.259367521446757,274.27863,0.000544,5,False
0.9850769,13.089149550127992,274.11322,0.000544,6,False
0.9908142,13.104749953223209,273.9428,0.000544,7,False
1.008667,13.153624113106018,274.3845,0.000544,8,False
0.992218,13.243327442427875,274.30978,0.000576,0,False
1.1426697,13.080021554264896,274.30472,0.000576,1,False
1.1491089,13.146385644755362,274.40652,0.000576,2,False
1.0058899,13.088320100149298,274.17447,0.000576,3,False
1.1272278,13.242862141220316,274.1564,0.000576,4,False
1.0945129,13.262959107289461,274.3897,0.000576,5,False
1.0917358,13.123163742750224,274.21988,0.000576,6,False
1.0179138,13.140556567018912,273.9699,0.000576,7,False
1.0906067,13.078726803078641,274.46643,0.000576,8,False
1.0544434,13.142265368844937,274.372,0.000608,0,False
1.0760498,13.099762463757823,274.2381,0.000608,1,False
1.0542908,13.27272638655077,274.3117,0.000608,2,False
1.0588989,13.161913218096352,274.22748,0.000608,3,False
1.0455933,13.265332817797596,274.07477,0.000608,4,False
1.1624756,13.173779073238714,274.45767,0.000608,5,False
1.1602478,13.095052806317822,274.2884,0.000608,6,False
1.166687,13.271578643572122,274.11868,0.000608,7,False
1.0483398,13.106070329693358,274.42416,0.000608,8,False
1.2011108,13.256455679976836,274.51868,0.00064,0,False
1.1701355,13.286483117904726,274.33218,0.00064,1,False
1.2115479,13.102148312558327,274.46896,0.00064,2,False
1.2102966,13.169081554091084,274.37888,0.00064,3,False
1.1795044,13.115642047577575,274.20868,0.00064,4,False
1.0942688,13.281239375600395,274.38947,0.00064,5,False
1.0988464,13.088554773801807,274.227,0.00064,6,False
1.1086426,13.130461553863583,274.06064,0.00064,7,False
