Effective_Signal,Noise,Raw_Signal,Exposure_Time,Subframe_Index
0.5061035,32.05222378092057,579.0409,3.2e-05,0
0.50665283,32.10185590972699,579.1403,3.2e-05,1
0.522583,32.42339927463843,578.72345,3.2e-05,2
0.41027832,32.133455930866525,578.8191,3.2e-05,3
0.40863037,32.11060896722574,578.6813,3.2e-05,4
0.4019165,32.498856294814026,578.7155,3.2e-05,5
0.4368286,32.12293877487651,578.68353,3.2e-05,6
0.4678955,32.11286129481016,578.5935,3.2e-05,7
0.4472046,32.45302210282061,579.1043,3.2e-05,8
0.41351318,32.15178475234694,578.9483,6.4e-05,0
0.43414307,32.171424509403444,579.0678,6.4e-05,1
0.43554688,32.479394566045634,578.6364,6.4e-05,2
0.47802734,32.18411576842704,578.88684,6.4e-05,3
0.46276855,32.13709472117956,578.7354,6.4e-05,4
0.46435547,32.56383392257588,578.77795,6.4e-05,5
0.39385986,32.231649321352414,578.64056,6.4e-05,6
0.4163208,32.20392546157674,578.54193,6.4e-05,7
0.43444824,32.542249341341694,579.09155,6.4e-05,8
0.34466553,32.21220377697386,578.87946,9.6e-05,0
0.336792,32.216516916863064,578.97046,9.6e-05,1
0.34960938,32.53271403833459,578.5505,9.6e-05,2
0.45983887,32.261285636526125,578.86865,9.6e-05,3
0.43121338,32.16118788283712,578.70386,9.6e-05,4
0.4423828,32.623125434711426,578.756,9.6e-05,5
0.397583,32.27271990793974,578.6443,9.6e-05,6
0.38415527,32.27436801830391,578.50977,9.6e-05,7
0.41485596,32.57541385349794,579.07196,9.6e-05,8
0.45074463,32.22993377603063,578.98553,0.000128,0
0.47686768,32.26923756672837,579.11053,0.000128,1
0.41906738,32.58436382107293,578.61993,0.000128,2
0.4935913,32.31187803912903,578.9024,0.000128,3
0.47351074,32.26490824244934,578.74615,0.000128,4
0.4729004,32.6670957244763,578.7865,0.000128,5
0.46313477,32.27609165582061,578.70984,0.000128,6
0.4921875,32.313008249018694,578.6178,0.000128,7
0.48614502,32.64525758780147,579.14325,0.000128,8
0.81085205,32.29691557073287,579.34564,0.00016,0
0.7698364,32.28401661203981,579.4035,0.00016,1
0.7699585,32.62146113995743,578.9708,0.00016,2
0.7593994,32.3621089903591,579.1682,0.00016,3
0.7512207,32.28803573551381,579.02386,0.00016,4
0.77630615,32.73032004334009,579.0899,0.00016,5
0.7935791,32.33416664132074,579.0403,0.00016,6
0.7363281,32.378150418077134,578.86194,0.00016,7
0.75323486,32.692435084150624,579.41034,0.00016,8
1.0337524,32.35344494700441,579.56854,0.000192,0
1.043335,32.35616122709724,579.677,0.000192,1
1.0187988,32.7330201390431,579.21967,0.000192,2
0.8890991,32.4340081421708,579.2979,0.000192,3
0.8883667,32.383297054042494,579.161,0.000192,4
0.91729736,32.764593186199576,579.2309,0.000192,5
1.0331421,32.393552562396955,579.27985,0.000192,6
1.0147705,32.44304712388984,579.1404,0.000192,7
1.0021362,32.78777462723015,579.65924,0.000192,8
1.1826172,32.429646449112106,579.7174,0.000224,0
1.2028198,32.4319419350694,579.8365,0.000224,1
1.1898193,32.775253304299746,579.3907,0.000224,2
1.2874756,32.45363710963409,579.6963,0.000224,3
1.2269287,32.36998539340881,579.4996,0.000224,4
1.2629395,32.773284203537315,579.57654,0.000224,5
1.2451782,32.42801722053607,579.4919,0.000224,6
1.2304688,32.48526680215496,579.3561,0.000224,7
1.2271118,32.814314329150065,579.8842,0.000224,8
1.4380493,32.42990270195105,579.97284,0.000256,0
1.4505615,32.4784531740373,580.0842,0.000256,1
1.4314575,32.79203651655157,579.6323,0.000256,2
1.4094238,32.48643207822259,579.81824,0.000256,3
1.4528809,32.435801912043424,579.7255,0.000256,4
1.4332886,32.876799560878375,579.7469,0.000256,5
1.4599609,32.55306590854353,579.70667,0.000256,6
1.4318848,32.51306349168487,579.5575,0.000256,7
1.40271,32.849998211322905,580.0598,0.000256,8
1.7093506,32.51639477859117,580.24414,0.000288,0
1.7344971,32.58553449193717,580.36816,0.000288,1
1.7055664,32.845266974696465,579.90643,0.000288,2
1.7724609,32.57175887879508,580.1813,0.000288,3
1.769104,32.509322200236255,580.04175,0.000288,4
1.7578735,32.96006015434946,580.0715,0.000288,5
1.7079468,32.584970735691485,579.95465,0.000288,6
1.7329102,32.577453086616295,579.8585,0.000288,7
1.7009277,32.939284792606685,580.35803,0.000288,8
1.9851074,32.566374871778905,580.5199,0.00032,0
1.9248657,32.601368219985744,580.55853,0.00032,1
1.965332,32.918312520787666,580.1662,0.00032,2
1.8427734,32.59946925157924,580.2516,0.00032,3
1.843689,32.56878095106669,580.11633,0.00032,4
1.8318481,32.95308737973182,580.14545,0.00032,5
1.9390259,32.64910407778397,580.1857,0.00032,6
1.927124,32.65063620002103,580.05273,0.00032,7
1.9050293,32.97769304706727,580.56213,0.00032,8
1.9742432,32.62889247228687,580.50903,0.000352,0
1.99823,32.61228459092485,580.6319,0.000352,1
1.9902954,32.97735587227918,580.19116,0.000352,2
2.236145,32.648448609995924,580.64496,0.000352,3
2.2197266,32.66723598918814,580.4924,0.000352,4
2.2436523,33.0185397495953,580.55725,0.000352,5
1.9918823,32.635986629828224,580.2386,0.000352,6
1.9932251,32.66788336478127,580.11884,0.000352,7
1.9730835,32.99439803476826,580.6302,0.000352,8
2.413208,32.6637671349683,580.948,0.000384,0
2.4454346,32.69917857991237,581.0791,0.000384,1
2.4151611,32.995536336852844,580.616,0.000384,2
2.3638306,32.72411332984099,580.77264,0.000384,3
2.343933,32.68827569596478,580.6166,0.000384,4
2.3463745,33.133341021443215,580.66,0.000384,5
2.3242188,32.69979358672584,580.5709,0.000384,6
2.333252,32.75715106427692,580.45886,0.000384,7
2.3023071,33.09277484833887,580.9594,0.000384,8
2.6207886,32.67132524501806,581.1556,0.000416,0
2.6159668,32.77963387914657,581.24963,0.000416,1
2.583313,33.06223220733479,580.7842,0.000416,2
2.7401733,32.776936480841876,581.149,0.000416,3
2.7103271,32.73580385409355,580.983,0.000416,4
2.6965332,33.13210561301966,581.01013,0.000416,5
2.5300903,32.768741784792205,580.7768,0.000416,6
2.5430298,32.818568126276574,580.66864,0.000416,7
2.5372314,33.11481798728486,581.19434,0.000416,8
2.8389893,32.77747326310451,581.3738,0.000448,0
2.850708,32.844298608705074,581.4844,0.000448,1
2.836914,33.15861294615992,581.0378,0.000448,2
2.8460693,32.88611097982619,581.2549,0.000448,3
