subframe_index,exposure_time,raw_signal,noise_total,noise_temporal,effective_signal,shot_noise_var,fpn_var,fpn
0,3.2e-05,272.70932,12.714189,12.722376210443397,-0.1265564,0.0,0.0,0.0
8,3.2e-05,273.20615,12.82796,12.802528052368322,0.023895264,0.0,0.6518397993768588,0.807365963722065
0,3.2e-05,272.90317,12.7602625,12.734757268661957,0.06729126,0.0,0.6502523522067634,0.8063822618378726
1,3.2e-05,272.89462,12.767776,12.746511181774675,0.05606079,0.19576949022123813,0.5425507153541105,0.7365804201539099
2,3.2e-05,273.0607,12.845899,12.823443678822946,0.057769775,0.0,0.5763973185948998,0.75920834992438
3,3.2e-05,272.7164,12.819541,12.801536758491347,-0.036499023,0.29080810552446223,0.46129382802612895,0.6791861512325829
4,3.2e-05,272.74094,12.795004,12.773740068961441,-0.039123535,0.02399047173187796,0.5436923361558286,0.7373549594027483
7,3.2e-05,272.81046,12.79568,12.777964194706597,0.03277588,0.10300320535947094,0.4530621911399635,0.6730989460249982
5,3.2e-05,273.0628,12.861381,12.84661163286199,-0.053131104,0.0,0.37968491086030554,0.6161857762560781
7,3.2e-05,272.71234,12.788737,12.77624864938481,-0.065338135,0.05916379506285807,0.31927403796001386,0.5650433947583263
8,3.2e-05,273.1186,12.8462105,12.822058564793483,-0.06365967,0.0,0.6199453865920077,0.7873661070886959
0,3.2e-05,272.8309,12.781104,12.762029314221598,-0.0049743652,0.3793054882360991,0.4872362009173514,0.6980230661785837
1,3.2e-05,272.8254,12.762325,12.74384884964794,-0.013153076,0.1279056857875105,0.4712696223269006,0.6864908027984793
2,3.2e-05,273.00037,12.871503,12.84804260266263,-0.0025634766,0.1709690288297736,0.6033841659082384,0.7767780673450032
3,3.2e-05,272.77914,12.818047,12.794120261852582,0.026245117,0.1009780012661281,0.6128091129485256,0.7828212522335642
6,3.2e-05,272.66837,12.822176,12.793440517479798,-0.07254028,0.02631126226242486,0.7360828507062251,0.8579527088984714
4,3.2e-05,272.80807,12.814426,12.79124753265808,0.028015137,0.4715685640722427,0.5935049908857764,0.7703927510599878
6,3.2e-05,272.7555,12.808722,12.783613895455785,0.014587402,0.0,0.6425702640972588,0.8016048054354832
4,3.2e-05,272.77582,12.762793,12.749158678210735,-0.0042419434,0.0,0.3478232370617036,0.5897654084987553
8,3.2e-05,273.19623,12.860265,12.83670004279138,0.013977051,0.09100080017725531,0.605545585618529,0.778168095991174
0,3.2e-05,272.87216,12.767351,12.758769508370372,0.0362854,0.2961126389062656,0.21904965571593493,0.4680274091502921
1,3.2e-05,272.86453,12.771845,12.746695953558547,0.025970459,0.20047991558024592,0.6417679022997902,0.8011041769331815
2,3.2e-05,273.01343,12.853399,12.83879726997328,0.010498047,0.0,0.3751540452922484,0.6124982002359259
3,3.2e-05,272.8261,12.815474,12.79369946771705,0.07321167,0.0902107967828556,0.5576125723146106,0.7467346063459297
4,3.2e-05,272.84494,12.7944975,12.781961738994159,0.06488037,0.2341010194514297,0.32062707652221434,0.5662394162562461
5,3.2e-05,273.1252,12.835529,12.821021415145326,0.009277344,0.0,0.3722185882052429,0.6100971957034739
5,3.2e-05,273.1679,12.86602,12.864271499562841,0.051971436,0.35117460558083735,0.04498839002738464,0.21210466762281457
