Effective_Signal,Noise,Raw_Signal,Exposure_Time,Subframe_Index
0.63848877,13.193781630367196,273.9337,0.000384,5
0.6902771,13.107338106896565,273.81842,0.000384,6
0.6837158,13.03619692400848,273.6357,0.000384,7
0.6890259,13.196221427133796,274.06485,0.000384,8
0.6999817,13.077890609604186,274.01755,0.000416,0
0.7063904,13.030537782365226,273.86844,0.000416,1
0.70266724,13.214511136338794,273.96008,0.000416,2
0.75320435,13.103305496431043,273.92178,0.000416,3
0.7430725,13.051764958324041,273.77225,0.000416,4
0.7315979,13.210077962225025,274.0268,0.000416,5
0.77459717,13.09677509513537,273.90274,0.000416,6
0.7465515,13.034942633796797,273.69855,0.000416,7
0.76556396,13.204546947001244,274.1414,0.000416,8
0.79397583,13.087719929026502,274.11154,0.000448,0
0.8041992,13.029495237920461,273.96625,0.000448,1
0.8002014,13.216861918961339,274.05762,0.000448,2
0.7892761,13.103277173748843,273.95786,0.000448,3
0.78686523,13.042550645715195,273.81604,0.000448,4
0.78790283,13.204031743925047,274.0831,0.000448,5
0.9636841,13.106567999680575,274.09183,0.000448,6
0.94732666,13.038342704359868,273.89932,0.000448,7
0.9483032,13.20645131020436,274.32413,0.000448,8
0.8116455,13.106207897006897,274.1292,0.00048,0
0.80477905,13.050975969319916,273.96683,0.00048,1
0.8004761,13.23291818237005,274.0579,0.00048,2
0.8911743,13.139584154930068,274.05975,0.00048,3
0.8883972,13.086129812725883,273.91757,0.00048,4
0.8760681,13.247690484185723,274.17126,0.00048,5
0.8970947,13.119286232687221,274.02524,0.00048,6
0.8829651,13.056257475200514,273.83496,0.00048,7
0.89346313,13.218275355673,274.2693,0.00048,8
0.92874146,13.117256440462937,274.2463,0.000512,0
0.9324341,13.071044612706864,274.09448,0.000512,1
0.92370605,13.249825474943892,274.18112,0.000512,2
0.9356384,13.138730428366632,274.10422,0.000512,3
0.92904663,13.078060545697381,273.95822,0.000512,4
0.9123535,13.245320819775047,274.20755,0.000512,5
1.013031,13.13558795934166,274.14117,0.000512,6
1.0036011,13.067720069296325,273.9556,0.000512,7
0.98876953,13.232233043200656,274.3646,0.000512,8
0.9908142,13.104749953223209,274.30838,0.000544,0
0.9850769,13.089149550127992,274.14713,0.000544,1
0.98342896,13.259367521446757,274.24084,0.000544,2
1.008667,13.153624113106018,274.17725,0.000544,3
1.0030212,13.095627352156722,274.0322,0.000544,4
1.0093384,13.25350607493065,274.30453,0.000544,5
1.0184631,13.139903796629175,274.1466,0.000544,6
1.0041504,13.065079316356027,273.95615,0.000544,7
1.0083923,13.227500457875065,274.38422,0.000544,8
1.0917358,13.123163742750224,274.4093,0.000576,0
1.0906067,13.078726803078641,274.25266,0.000576,1
1.0945129,13.262959107289461,274.35193,0.000576,2
1.0179138,13.140556567018912,274.1865,0.000576,3
1.0058899,13.088320100149298,274.03506,0.000576,4
0.992218,13.243327442427875,274.2874,0.000576,5
1.1491089,13.146385644755362,274.27725,0.000576,6
1.1426697,13.080021554264896,274.09467,0.000576,7
1.1272278,13.242862141220316,274.50305,0.000576,8
1.0544434,13.142265368844937,274.372,0.000608,0
1.0760498,13.099762463757823,274.2381,0.000608,1
1.0542908,13.27272638655077,274.3117,0.000608,2
1.0588989,13.161913218096352,274.22748,0.000608,3
1.0483398,13.106070329693358,274.0775,0.000608,4
1.0455933,13.265332817797596,274.3408,0.000608,5
1.1624756,13.173779073238714,274.29062,0.000608,6
1.1602478,13.095052806317822,274.11224,0.000608,7
1.166687,13.271578643572122,274.5425,0.000608,8
1.1086426,13.130461553863583,274.4262,0.00064,0
1.0988464,13.088554773801807,274.2609,0.00064,1
1.0942688,13.281239375600395,274.35168,0.00064,2
1.1957092,13.169619685052872,274.3643,0.00064,3
