exposure_time,raw_signal,noise_total,noise_temporal,effective_signal,noise_total_var,noise_temporal_var,shot_noise_var,fpn_var,shot_noise,fpn
3.2e-05,272.7093,12.729646,12.722376210443397,-0.18258667,162.04388,161.8588564400561,0.0,0.18502783728766303,0.0,0.4301486223244973
3.2e-05,273.20633,12.826217,12.802528052368322,0.31445312,164.51184,163.90472453167783,0.23402059825909305,0.6071162886346713,0.48375675525938966,0.7791766735693973
3.2e-05,272.90308,12.764155,12.734757268661957,0.011199951,162.92366,162.17404269173855,0.0,0.7496175865817634,0.0,0.8658045891433952
3.2e-05,272.89465,12.768157,12.746511181774675,0.0027770996,163.02583,162.47354730710683,0.0,0.5522858227759855,0.0,0.7431593522091917
3.2e-05,273.06082,12.853523,12.823443678822946,0.16894531,165.21306,164.44070778394416,0.770003850525427,0.7723506877355248,0.877498632776956,0.8788348466779893
3.2e-05,272.7164,12.817422,12.801536758491347,-0.17547607,164.2863,163.87934337900512,0.20863944558638536,0.40695728017456645,0.45677067067225907,0.6379320341341752
3.2e-05,272.74084,12.791118,12.773740068961441,-0.1510315,163.61269,163.16843534939105,0.0,0.44425080783551607,0.0,0.6665214233882629
3.2e-05,272.81052,12.788397,12.777964194706597,-0.08135986,163.54309,163.2763689612038,0.0,0.2667218591087135,0.0,0.5164512165816957
3.2e-05,273.0628,12.86911,12.84661163286199,0.17092896,165.614,165.035430445585,1.3647265121662713,0.5785679675009305,1.1682150967036298,0.7606365541445734
3.2e-05,272.71228,12.799213,12.77624864938481,-0.17959595,163.81987,163.23252955090717,0.0,0.5873404442100139,0.0,0.7663813960489998
3.2e-05,273.11847,12.852877,12.822058564793483,0.22659302,165.19644,164.40518583899393,0.7344819055751941,0.7912558113966952,0.8570191979035208,0.8895256103096162
3.2e-05,272.831,12.780571,12.762029314221598,-0.06088257,163.34299,162.8693922170514,0.0,0.4735948434954764,0.0,0.6881822749064934
3.2e-05,272.82544,12.762703,12.74384884964794,-0.06643677,162.88658,162.4056835026731,0.0,0.4808979182253381,0.0,0.6934680369168705
3.2e-05,273.0005,12.868679,12.84804260266263,0.10861206,165.6029,165.07219871983395,1.4014947864152134,0.5307065536035509,1.183847450651989,0.7284960903145266
3.2e-05,272.7792,12.818466,12.794120261852582,-0.1126709,164.31308,163.6895132747468,0.018809341328051232,0.6235665592375881,0.1371471520960287,0.7896623070892951
3.2e-05,272.66824,12.826733,12.793440517479798,-0.22363281,164.52507,163.67212027429377,0.0014163408750391682,0.8529499161359126,0.03763430449788023,0.9235528767406405
3.2e-05,272.80814,12.803721,12.79124753265808,-0.083740234,163.93529,163.6160134417314,0.0,0.31927403385452635,0.0,0.5650433911254306
3.2e-05,272.75552,12.806082,12.783613895455785,-0.13635254,163.99573,163.42078422809024,0.0,0.5749433109722588,0.0,0.7582501638458503
3.2e-05,272.77576,12.77355,12.749158678210735,-0.116119385,163.16357,162.5410470021961,0.0,0.6225272165538911,0.0,0.7890039395046714
3.2e-05,273.1963,12.856798,12.83670004279138,0.30441284,165.29726,164.78086798860022,1.1101640551814853,0.5163884811263415,1.0536432295523401,0.7186017541909716
3.2e-05,272.87207,12.772338,12.758769508370372,-0.019805908,163.13261,162.78619936772157,0.0,0.34641476802062243,0.0,0.5885701045930063
3.2e-05,272.86462,12.7664175,12.746695953558547,-0.027252197,162.98141,162.47825773246583,0.0,0.5031570624560402,0.0,0.7093356486572772
3.2e-05,273.01358,12.861134,12.83879726997328,0.1217041,165.40875,164.83471533947338,1.164011406054641,0.5740371019328734,1.0788936027498917,0.757652362190519
3.2e-05,272.8261,12.818484,12.79369946771705,-0.06576538,164.31354,163.67874607026351,0.008042136844778724,0.6347915273927356,0.08967796186788995,0.7967380544399367
3.2e-05,272.8451,12.801514,12.781961738994159,-0.046783447,163.87875,163.3785458971106,0.0,0.5002077649987768,0.0,0.707253677967656
3.2e-05,273.12515,12.845295,12.821021415145326,0.23327637,165.0016,164.37859012761507,0.7078861941963339,0.6230120452364929,0.8413597293645174,0.789311120684672
3.2e-05,273.1678,12.876608,12.864271499562841,0.27590942,165.80704,165.4894812144648,1.8187772810460672,0.31755613905082214,1.3486205103905498,0.5635211966295697
3.2e-05,272.7414,12.80724,12.781191631778167,-0.15048218,164.02539,163.35885952823625,0.0,0.6665310967637481,0.0,0.8164135574350466
3.2e-05,273.1448,12.867328,12.832119860470003,0.2529297,165.56812,164.6633001134687,0.9925961800499579,0.9048151209063064,0.996291212472517,0.9512177042645424
3.2e-05,272.84558,12.748026,12.72762669624349,-0.046295166,162.51216,161.99248131892998,0.0,0.519679935952837,0.0,0.7208882964460146
3.2e-05,272.86594,12.748882,12.732020758081841,-0.025939941,162.534,162.10435258422692,0.0,0.4296439978043338,0.0,0.655472347093555
3.2e-05,273.0336,12.835002,12.817862761730526,0.14172363,164.73727,164.2976057785581,0.626901845139372,0.43966839136376734,0.7917713338706902,0.6630749515430118
3.2e-05,272.74744,12.785316,12.763653148001026,-0.1444397,163.46431,162.9108416824765,0.0,0.553468009906311,0.0,0.7439543063295695
3.2e-05,272.71304,12.817783,12.781071597553609,-0.17883301,164.29556,163.35579118179157,0.0,0.9397715623490512,0.0,0.9694181566017067
3.2e-05,273.15356,12.876591,12.848278625014292,0.26168823,165.8066,165.07826362599914,1.4075596925804064,0.7283312226336704,1.1864062089269451,0.853423237692571
3.2e-05,272.78427,12.802032,12.789511756849006,-0.10760498,163.89203,163.57161097857895,0.0,0.3204178300148044,0.0,0.566054617519197
3.2e-05,272.82095,12.791264,12.78306497490078,-0.07092285,163.61642,163.40675015253507,0.0,0.20967440801180715,0.0,0.4579021817067562
3.2e-05,272.84882,12.783186,12.754798938065857,-0.043060303,163.40984,162.68489595048592,0.0,0.7249398649437637,0.0,0.8514340050431176
3.2e-05,272.83832,12.769207,12.74917890869802,-0.05355835,163.05264,162.54156284599046,0.0,0.5110799762751697,0.0,0.7148985776144541
3.2e-05,273.0032,12.8706,12.847484241213559,0.111328125,165.65234,165.05785132823073,1.38714739481199,0.5944924217692744,1.177772216861983,0.7710333467297471
3.2e-05,272.81052,12.81485,12.785550627438559,-0.08135986,164.22038,163.47030484679453,0.0,0.7500778436351538,0.0,0.8660703456620333
3.2e-05,272.8162,12.793972,12.774665276579952,-0.075683594,163.68571,163.19207292865755,0.0,0.4936417930221353,0.0,0.7025964652787084
3.2e-05,273.15256,12.876049,12.861102056554822,0.26068115,165.79263,165.40794610911868,1.7372421756999472,0.3846869475219421,1.3180448306867059,0.6202313661223061
3.2e-05,273.24307,12.865103,12.83458123642304,0.3511963,165.51086,164.72647551434235,1.0557715809236186,0.7843887434701458,1.027507460276381,0.8856572381402106
3.2e-05,272.76843,12.823415,12.800294606572033,-0.1234436,164.43997,163.84754201503708,0.17683808161834236,0.592429908791047,0.42052120234102625,0.7696946854377046
3.2e-05,273.20383,12.869846,12.851278131929115,0.31195068,165.63295,165.1553496241995,1.4846456907807521,0.47760020490207467,1.218460377189489,0.6910862499732393
3.2e-05,272.88928,12.779957,12.753977580282077,-0.0025939941,163.3273,162.66394411833787,0.0,0.6633569070527585,0.0,0.8144672535177572
3.2e-05,272.8685,12.77202,12.750007009977564,-0.023376465,163.1245,162.56267875447702,0.0,0.561817705483918,0.0,0.7495449989719883
3.2e-05,273.02847,12.870949,12.849135048976034,0.13659668,165.66132,165.10027150682436,1.4295675734056204,0.561044411144394,1.1956452539970293,0.7490289788415359
3.2e-05,272.72388,12.812016,12.787558840476406,-0.16799927,164.14774,163.52166109864626,0.0,0.6260744970568624,0.0,0.7912486948215853
3.2e-05,272.7473,12.807255,12.78381080553203,-0.14456177,164.02577,163.42581871163748,0.0,0.5999533830890869,0.0,0.7745665775703771
3.2e-05,272.79626,12.797899,12.782609114587286,-0.09561157,163.78622,163.39509577632995,0.0,0.39112858890442226,0.0,0.6254027413630534
3.2e-05,272.8345,12.805353,12.776081410689919,-0.057373047,163.97707,163.2282562125765,0.0,0.7488098274625656,0.0,0.8653379845254486
